gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std
1680.08,492406,0.00131144,0.0124791,-0.00309157,0.0156479,-5.00096,0.0113992,1026,767,1,0.167332,19,21.5927,6,7.54414
1690.08,495340,0.00124727,0.0121449,-0.00301189,0.0156647,-5.00091,0.0112667,1025,845,1,0.164317,19,21.7455,6,7.64461
1700.08,498294,0.00113277,0.0124356,-0.00303053,0.0156781,-5.00082,0.011129,1025,86,1,0.158114,19,21.874,6,7.68394
1710.08,501243,0.00104408,0.0126996,-0.00291142,0.0151386,-5.00074,0.0113876,1025,168,1,0.164317,19,22.022,6,7.69773
1720.08,504189,0.00108521,0.0128304,-0.0028364,0.0150405,-5.00076,0.0114869,1022,261,1,0.161245,19,22.3005,6,7.79262
1730.08,507130,0.00118241,0.0128263,-0.00285271,0.0150464,-5.00075,0.011336,1024,346,1,0.154919,20,22.3885,6,7.84321
1740.08,510091,0.00117568,0.012931,-0.00299002,0.0151358,-5.00065,0.0112906,1026,442,1,0.167332,20,22.5189,6,7.91157
1750.08,513046,0.00103345,0.012795,-0.00313439,0.0154685,-5.00085,0.0111165,1026,528,1,0.167332,20,22.7284,6,7.99444
1760.08,515990,0.0010103,0.0123573,-0.00281033,0.0148,-5.00074,0.0107869,1022,621,1,0.154919,20,22.9266,6,8.08146
1770.08,518940,0.000883919,0.0118687,-0.00298153,0.0148777,-5.0008,0.0109365,1020,711,1,0.141421,20,22.4457,6,7.93202
1780.08,521853,0.00103358,0.0121121,-0.0030858,0.0152536,-5.00092,0.0109738,1023,814,1,0.151658,20,22.642,6,8.00219
1790.08,524790,0.000882264,0.012209,-0.00315537,0.0151678,-5.00087,0.0107882,1024,886,1,0.154919,20,22.5936,6,8.00137
1800.08,527736,0.000816073,0.0124063,-0.00312608,0.0149773,-5.00098,0.0110186,1027,83,1,0.164317,20,22.8209,7,8.0545
1810.08,530689,0.000928592,0.0129416,-0.0031077,0.0148129,-5.00095,0.0109423,1029,179,1,0.176068,20,22.9919,6,8.17453
1820.08,533645,0.000795787,0.0126024,-0.00298317,0.0148515,-5.00104,0.0114275,1030,253,1,0.173205,20,23.1633,6,8.19231
1830.08,536619,0.000847397,0.0127349,-0.00298638,0.0148213,-5.00119,0.0112259,1031,336,1,0.181659,20,23.3883,6,8.24239
1840.08,539583,0.000854364,0.0125217,-0.00280621,0.014589,-5.0012,0.0119607,1032,419,1,0.184391,20,23.2824,6,8.19256
1850.08,542550,0.000818547,0.0128169,-0.00269253,0.0143036,-5.00115,0.0119446,1029,509,1,0.181659,20,23.4977,6,8.25633
1860.08,545516,0.000698914,0.0126115,-0.00281765,0.0145205,-5.00134,0.0122564,1026,602,1,0.167332,20,23.2328,6,8.16566
